UniprotID,Uniprot Name,Ligand SMILES,PubChem_CID
Q96EB6,SIR1_HUMAN,COc1ccc2[nH]cc(CCNC(=O)[C@H](CCCCNC(C)=S)NC(=O)OCc3ccccc3)c2c1,73292338
Q96EB6,SIR1_HUMAN,COc1ccc(cc1)C(=O)CNC(=O)[C@H](CCCCNC(C)=S)NC(=O)OCc1ccccc1,73292335
Q96EB6,SIR1_HUMAN,CC(=S)NCCCC[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)OCc1ccccc1)C(=O)NCC(=O)c1ccccc1,73291970
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1,3246390
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=O)[nH]c1=O)-c1ccccc1,42617955
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccc(Br)cc1,42617956
Q96EB6,SIR1_HUMAN,COc1ccc(cc1)-c1[nH]c(=S)[nH]c(=O)c1Cc1c(O)ccc2ccccc12,42617957
Q96EB6,SIR1_HUMAN,Oc1ccc(cc1Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1)-c1ccccc1,42617958
Q96EB6,SIR1_HUMAN,Cc1ccccc1-c1[nH]c(=S)[nH]c(=O)c1Cc1c(O)ccc2ccccc12,42617959
Q96EB6,SIR1_HUMAN,Cc1cccc(c1)-c1[nH]c(=S)[nH]c(=O)c1Cc1c(O)ccc2ccccc12,42617960
Q96EB6,SIR1_HUMAN,Cc1ccc(cc1)-c1[nH]c(=S)[nH]c(=O)c1Cc1c(O)ccc2ccccc12,42617961
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccc(Cl)cc1,42617962
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccc(I)cc1,42617963
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccc(cc1)C(F)(F)F,42617964
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1Br,42617965
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1cccc(Br)c1,42617966
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1cccc(Cl)c1,42617967
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1ccccc1F,42617968
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c([nH]c(=S)[nH]c1=O)-c1cccc(F)c1,42617969
Q96EB6,SIR1_HUMAN,Cn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,42617970
Q96EB6,SIR1_HUMAN,CCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,42617971
Q96EB6,SIR1_HUMAN,Oc1ccc2ccccc2c1Cc1c(-c2ccccc2)n(CC=C)c(=S)[nH]c1=O,42617972
Q96EB6,SIR1_HUMAN,CCCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,42617973
Q96EB6,SIR1_HUMAN,CCCCn1c(-c2ccccc2)c(Cc2c(O)ccc3ccccc23)c(=O)[nH]c1=S,42617974
